Country,Region,Area (sq. mi.),Coastline (coast/area ratio),Population,Net migration,Birthrate,Deathrate,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Agriculture,Industry,Service,Climate,Arable (%),Crops (%),Other (%)
Qatar ,NEAR EAST                          ,11437,4.92,885359,16.29,15.56,4.72,18.61,21500.0,82.5,232.0,0.002,0.801,0.197,1.0,1.64,0.27,98.09
Reunion ,SUB-SAHARAN AFRICA                 ,2517,8.22,787584,0.0,18.9,5.49,7.78,5800.0,88.9,380.9,0.08,0.19,0.73,2.0,13.6,1.2,85.2
Romania ,EASTERN EUROPE                     ,237500,0.09,22303552,-0.13,10.7,11.77,26.43,7000.0,98.4,196.9,0.101,0.35,0.549,3.0,40.82,2.25,56.93
Russia ,C.W. OF IND. STATES ,17075200,0.22,142893540,1.02,9.95,14.65,15.39,8900.0,99.6,280.6,0.054,0.371,0.575,,7.33,0.11,92.56
Rwanda ,SUB-SAHARAN AFRICA                 ,26338,0.0,8648248,0.0,40.37,16.09,91.23,1300.0,70.4,2.7,0.401,0.229,0.37,3.0,40.54,12.16,47.3
Saint Helena ,SUB-SAHARAN AFRICA                 ,413,14.53,7502,0.0,12.13,6.53,19.0,2500.0,97.0,293.3,,,,,12.9,0.0,87.1
Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,261,51.72,39129,-7.11,18.02,8.33,14.49,8800.0,97.0,638.9,0.035,0.258,0.707,2.0,19.44,2.78,77.78
Saint Lucia ,LATIN AMER. & CARIB    ,616,25.65,168458,-2.67,19.68,5.08,13.53,5400.0,67.0,303.3,0.07,0.2,0.73,2.0,6.56,22.95,70.49
St Pierre & Miquelon ,NORTHERN AMERICA                   ,242,49.59,7026,-4.86,13.52,6.83,7.54,6900.0,99.0,683.2,,,,,13.04,0.0,86.96
Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,389,21.59,117848,-7.64,16.18,5.98,14.78,2900.0,96.0,190.9,0.1,0.26,0.64,2.0,17.95,17.95,64.1
Samoa ,OCEANIA                            ,2944,13.69,176908,-11.7,16.43,6.62,27.71,5600.0,99.7,75.2,0.114,0.584,0.302,2.0,21.2,24.38,54.42
San Marino ,WESTERN EUROPE                     ,61,0.0,29251,10.98,10.02,8.17,5.73,34600.0,96.0,704.3,,,,,16.67,0.0,83.33
Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,1001,20.88,193413,-2.72,40.25,6.47,43.11,1200.0,79.3,36.2,0.167,0.148,0.684,2.0,6.25,48.96,44.79
Saudi Arabia ,NEAR EAST                          ,1960582,0.13,27019731,-2.71,29.34,2.58,13.24,11800.0,78.8,140.6,0.033,0.613,0.354,1.0,1.67,0.09,98.24
Senegal ,SUB-SAHARAN AFRICA                 ,196190,0.27,11987121,0.2,32.78,9.42,55.51,1600.0,40.2,22.2,0.172,0.209,0.619,2.0,12.78,0.21,87.01
Serbia ,EASTERN EUROPE                     ,88361,0.0,9396411,-1.33,,,12.89,2200.0,93.0,285.8,0.166,0.255,0.579,,33.35,3.2,63.45
Seychelles ,SUB-SAHARAN AFRICA                 ,455,107.91,81541,-5.69,16.03,6.29,15.53,7800.0,58.0,262.4,0.032,0.304,0.665,2.0,2.22,13.33,84.45
Sierra Leone ,SUB-SAHARAN AFRICA                 ,71740,0.56,6005250,0.0,45.76,23.03,143.64,500.0,31.4,4.0,0.49,0.31,0.21,2.0,6.98,0.89,92.13
Singapore ,ASIA (EX. NEAR EAST)         ,693,27.85,4492150,11.53,9.34,4.28,2.29,23700.0,92.5,411.4,0.0,0.339,0.661,2.0,1.64,0.0,98.36
Slovakia ,EASTERN EUROPE                     ,48845,0.0,5439448,0.3,10.65,9.45,7.41,13300.0,82.8,220.1,0.035,0.294,0.672,3.0,30.16,2.62,67.22
Slovenia ,EASTERN EUROPE                     ,20273,0.23,2010347,1.12,8.98,10.31,4.45,19000.0,99.7,406.1,0.028,0.369,0.603,,8.6,1.49,89.91
Solomon Islands ,OCEANIA                            ,28450,18.67,552438,0.0,30.01,3.92,21.29,1700.0,82.8,13.4,0.42,0.11,0.47,2.0,0.64,2.0,97.36
Somalia ,SUB-SAHARAN AFRICA                 ,637657,0.47,8863338,5.37,45.13,16.63,116.7,500.0,37.8,11.3,0.65,0.1,0.25,1.0,1.67,0.04,98.29
South Africa ,SUB-SAHARAN AFRICA                 ,1219912,0.23,44187637,-0.29,18.2,22.0,61.81,10700.0,86.4,107.0,0.025,0.303,0.671,1.0,12.08,0.79,87.13
Spain ,WESTERN EUROPE                     ,504782,0.98,40397842,0.99,10.06,9.72,4.42,22000.0,97.9,453.5,0.04,0.295,0.665,3.0,26.07,9.87,64.06
Sri Lanka ,ASIA (EX. NEAR EAST)         ,65610,2.04,20222240,-1.31,15.51,6.52,14.35,3700.0,92.3,61.5,0.178,0.276,0.545,2.0,13.86,15.7,70.44
Sudan ,SUB-SAHARAN AFRICA                 ,2505810,0.03,41236378,-0.02,34.53,8.97,62.5,1900.0,61.1,16.3,0.387,0.203,0.41,2.0,6.83,0.18,92.99
Suriname ,LATIN AMER. & CARIB    ,163270,0.24,439117,-8.81,18.02,7.27,23.57,4000.0,93.0,184.7,0.13,0.22,0.65,2.0,0.37,0.06,99.57
Swaziland ,SUB-SAHARAN AFRICA                 ,17363,0.0,1136334,0.0,27.41,29.74,69.27,4900.0,81.6,30.8,0.119,0.515,0.366,2.5,10.35,0.7,88.95
Sweden ,WESTERN EUROPE                     ,449964,0.72,9016596,1.67,10.27,10.31,2.77,26800.0,99.0,715.0,0.011,0.282,0.707,3.0,6.54,0.01,93.45
Switzerland ,WESTERN EUROPE                     ,41290,0.0,7523934,4.05,9.71,8.49,4.39,32700.0,99.0,680.9,0.015,0.34,0.645,3.0,10.42,0.61,88.97
Syria ,NEAR EAST                          ,185180,0.1,18881361,0.0,27.76,4.81,29.53,3300.0,76.9,153.8,0.249,0.23,0.519,1.0,25.22,4.43,70.35
Taiwan ,ASIA (EX. NEAR EAST)         ,35980,4.35,23036087,0.0,12.56,6.48,6.4,23400.0,96.1,591.0,0.018,0.259,0.723,2.0,24.0,1.0,75.0
Tajikistan ,C.W. OF IND. STATES ,143100,0.0,7320815,-2.86,32.65,8.25,110.76,1000.0,99.4,33.5,0.234,0.286,0.48,2.0,6.61,0.92,92.47
Tanzania ,SUB-SAHARAN AFRICA                 ,945087,0.15,37445392,-2.06,37.71,16.39,98.54,600.0,78.2,4.0,0.432,0.172,0.396,,4.52,1.08,94.4
Thailand ,ASIA (EX. NEAR EAST)         ,514000,0.63,64631595,0.0,13.87,7.04,20.48,7400.0,92.6,108.9,0.099,0.441,0.46,2.0,29.36,6.46,64.18
Togo ,SUB-SAHARAN AFRICA                 ,56785,0.1,5548702,0.0,37.01,9.83,66.61,1500.0,60.9,10.6,0.395,0.204,0.401,2.0,46.15,2.21,51.64
Tonga ,OCEANIA                            ,748,56.02,114689,0.0,25.37,5.28,12.62,2200.0,98.5,97.7,0.23,0.27,0.5,2.0,23.61,43.06,33.33
Trinidad & Tobago ,LATIN AMER. & CARIB    ,5128,7.06,1065842,-10.83,12.9,10.57,24.31,9500.0,98.6,303.5,0.007,0.57,0.423,2.0,14.62,9.16,76.22
Tunisia ,NORTHERN AFRICA                    ,163610,0.7,10175014,-0.57,15.52,5.13,24.77,6900.0,74.2,123.6,0.132,0.318,0.55,3.0,17.86,13.74,68.4
Turkey ,NEAR EAST                          ,780580,0.92,70413958,0.0,16.62,5.97,41.04,6700.0,86.5,269.5,0.117,0.298,0.585,3.0,30.93,3.31,65.76
Turkmenistan ,C.W. OF IND. STATES ,488100,0.0,5042920,-0.86,27.61,8.6,73.08,5800.0,98.0,74.6,0.209,0.38,0.411,1.0,3.72,0.14,96.14
Turks & Caicos Is ,LATIN AMER. & CARIB    ,430,90.47,21152,11.68,21.84,4.21,15.67,9600.0,98.0,269.5,,,,2.0,2.33,0.0,97.67
Tuvalu ,OCEANIA                            ,26,92.31,11810,0.0,22.18,7.11,20.03,1100.0,82.8,59.3,0.166,0.272,0.562,2.0,0.0,0.0,100.0
Uganda ,SUB-SAHARAN AFRICA                 ,236040,0.0,28195754,0.0,47.35,12.24,67.83,1400.0,69.9,3.6,0.311,0.222,0.469,2.0,25.88,10.65,63.47
Ukraine ,C.W. OF IND. STATES ,603700,0.46,46710816,-0.39,8.82,14.39,20.34,5400.0,99.7,259.9,0.187,0.452,0.361,3.0,56.21,1.61,42.18
United Arab Emirates ,NEAR EAST                          ,82880,1.59,2602713,1.03,18.96,4.4,14.51,23200.0,77.9,475.3,0.04,0.585,0.375,1.0,0.6,2.25,97.15
United Kingdom ,WESTERN EUROPE                     ,244820,5.08,60609153,2.19,10.71,10.13,5.16,27700.0,99.0,543.5,0.005,0.237,0.758,3.0,23.46,0.21,76.33
United States ,NORTHERN AMERICA                   ,9631420,0.21,298444215,3.41,14.14,8.26,6.5,37800.0,97.0,898.0,0.01,0.204,0.787,3.0,19.13,0.22,80.65
Uruguay ,LATIN AMER. & CARIB    ,176220,0.37,3431932,-0.32,13.91,9.05,11.95,12800.0,98.0,291.4,0.093,0.311,0.596,3.0,7.43,0.23,92.34
Uzbekistan ,C.W. OF IND. STATES ,447400,0.0,27307134,-1.72,26.36,7.84,71.1,1700.0,99.3,62.9,0.342,0.229,0.43,1.0,10.83,0.83,88.34
Vanuatu ,OCEANIA                            ,12200,20.72,208869,0.0,22.72,7.82,55.16,2900.0,53.0,32.6,0.26,0.12,0.62,2.0,2.46,7.38,90.16
Venezuela ,LATIN AMER. & CARIB    ,912050,0.31,25730435,-0.04,18.71,4.92,22.2,4800.0,93.4,140.1,0.04,0.419,0.541,2.0,2.95,0.92,96.13
Vietnam ,ASIA (EX. NEAR EAST)         ,329560,1.05,84402966,-0.45,16.86,6.22,25.95,2500.0,90.3,187.7,0.209,0.41,0.381,2.0,19.97,5.95,74.08
Virgin Islands ,LATIN AMER. & CARIB    ,1910,9.84,108605,-8.94,13.96,6.43,8.03,17200.0,82.8,652.8,0.01,0.19,0.8,2.0,11.76,2.94,85.3
Wallis and Futuna ,OCEANIA                            ,274,47.08,16025,,,,,3700.0,50.0,118.6,,,,2.0,5.0,25.0,70.0
West Bank ,NEAR EAST                          ,5860,0.0,2460492,2.98,31.67,3.92,19.62,800.0,82.8,145.2,0.09,0.28,0.63,3.0,16.9,18.97,64.13
Western Sahara ,NORTHERN AFRICA                    ,266000,0.42,273008,,,,,,82.8,,,,0.4,1.0,0.02,0.0,99.98
Yemen ,NEAR EAST                          ,527970,0.36,21456188,0.0,42.89,8.3,61.5,800.0,50.2,37.2,0.135,0.472,0.393,1.0,2.78,0.24,96.98
Zambia ,SUB-SAHARAN AFRICA                 ,752614,0.0,11502010,0.0,41.0,19.93,88.29,800.0,80.6,8.2,0.22,0.29,0.489,2.0,7.08,0.03,92.9
Zimbabwe ,SUB-SAHARAN AFRICA                 ,390580,0.0,12236805,0.0,28.01,21.84,67.69,1900.0,90.7,26.8,0.179,0.243,0.579,2.0,8.32,0.34,91.34
