,Migrant remittance inflows (US$ million),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017p
29,Burkina Faso,,,,,35.940308200000004,47.6546206,51.0231214,60.14742253,78.07463975,110.13632839,150.16092422999998,153.04048114399998,110.033474713,113.052484342,90.237781129,126.04674322599999,192.0,173.0,187.0,155.0,140.0,113.0,129.0,117.0,80.346943,,,,,,67.335109,49.9155226,58.7341359,53.74738970000001,44.417329,56.6422833408211,67.93588049499999,84.32464228500001,99.34005787000001,95.987539,120.34477150999999,220.77872700999998,209.99275541999998,308.38184858999995,395.78091003,395.78091003,405.67543278074993,453.9508092816592
30,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041783995000000004,0.0715621616149133,0.01147097177,0.1899489405,3.645216677,28.23214776,34.498929509999996,45.463176871,46.43364909,48.639473900000006,56.262591431000004,51.034026,51.034026,57.71551083037184
31,Cabo Verde,,,,,,,,24.281503,23.602318,24.005557,40.0648,31.596889,25.852013,20.547993,20.617848,20.757016,27.56007622,36.425994,42.7420129,47.7004541,59.1403848,62.3665308,76.0129913,76.4913627,85.4536428,105.9154667,100.34971309999999,76.4165562,73.7415567,79.1026659,86.90597659999999,80.9471205,85.07968348,108.16825571,113.38886054000001,136.64879496257007,136.6123709851,138.8744660075,155.11148708789997,136.74857257640002,130.9531664997,176.7698116091,177.953318834,175.965459048,196.78792577000002,200.826434,220.7172,228.06944344645794
32,Cambodia,,,,,,,,,,,,,,,,,,,,,,,9.0,9.5,11.3,11.6,11.6,11.7,119.668,106.446,120.527,132.503,139.651,138.2655,177.4,163.7,183.7,185.8,187.918,142.2135,152.5420125,160.44411309999998,172.1060236,175.95,376.75084169999997,400.019008,370.593216,388.74196240030034
33,Cameroon,,,,,,,,,,3.4787245,29.392337,28.704811199999998,19.019723199999998,28.0003965,14.82984537,12.2200147,23.7362401,12.777147699999999,12.321712100000001,32.5696854,22.992323600000002,7.3376437,25.010218899999998,20.3416713,11.401200399999999,11.239141899999998,13.4099646,26.585256100000002,37.512727,26.2212491,30.158308100000003,20.310256400000004,35.3970117,75.51269190000001,103.3893061,76.9885358030393,129.94317302,167.33894962,162.01462377000001,184.37002876,114.85895271000001,219.25498969,210.41976506,244.05916696999998,282.96069764,241.609808,241.609808,249.39383834970465
34,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912.162641271908,1085.682503,1177.367901,1299.464292,1195.06828,1199.096963,1226.993701,1254.823843,1336.975325,1308.71835,1323.335296,1343.332992,1406.469642624
35,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Central African Republic,,,,,,,,1.9659745,0.98823048,,0.037864525,0.011040312,0.036517869,0.020993737000000002,,,,,,0.021943003,0.080803692,0.14179022,,0.15891929999999999,,,,,,,,,,,,,,,,,,,,,,,,
37,Chad,,,,,,,,,,,,,,,,0.033388018,1.2301263,1.3542445,0.34581372,0.79308281,,,0.20401085500000002,0.32137014,0.7240572774999999,,,,,,,,,,,,,,,,,,,,,,,
38,Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Chile,,,,,,,,,,,,,,1.0,1.0,1.0,0.4,0.5,0.1,1.3,0.4,,,,,,,,,,13.3,11.9,12.4,11.8,11.6,13.0,2.5,2.5,2.5,4.4,,,170.2646845,136.5727626,105.805362,104.184872,103.90216,107.4457854039031
40,China,,,,,,,,,,,,,616.0,542.0,403.0,271.0,407.0,166.0,129.0,76.0,124.0,207.0,228.0,108.0,395.0,350.0,1670.0,4586.0,344.0,530.0,758.0,1209.0,2354.0,4620.0,6640.0,23625.899319366334,27565.193759,38395.039993,47742.805394,41600.374919,52459.645879,61576.221918,57986.598422,59491.287194,62332.342308,63937.646592,60999.999488,62850.03104726764
41,Colombia,26.0,22.06556,22.79991,29.80325,36.0792,23.0,51.0,81.7264,75.82,101.0,106.0,160.0,87.0,72.0,78.0,110.0,416.0,625.0,458.0,467.0,495.0,881.0,640.5,468.1,968.850455,814.8676394,752.7362988,773.819091,805.53507,1314.68665,1612.095089,2054.96818,2476.232774,3075.923457,3189.811009,3345.6103214079653,3899.15991444,4460.19447654,4826.85123285,4124.8625541,4030.84632576,4101.31589071,4018.6746682899998,4449.8316809200005,4165.73107309,4679.692776,4902.694056,5535.141589224
42,Comoros,,,,,,,,,,,1.6187221999999999,1.2218049,2.3675952000000002,1.8369675,2.1398184,4.2291848,4.764614099999999,6.8012268,7.3830176,7.887009,9.9352654,10.095549,15.999876,16.029796,15.232992,12.212938,,,,,,,,,,54.0341994808433,63.14134197,73.94764241,100.9169208,100.0049751,87.16699576,108.0322788,110.2097588,115.93783348875999,125.96024233440836,128.79280598194143,130.56020098485624,137.62652942831465
43,"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.308,4.7101,2.527,5.6,19.9,8.9,12.8,8.8,14.7,19.5,15.7,114.6,12.1994878,33.11131685,22.3783591,4.7173845,4.7173845,5.032445597093864
44,"Congo, Rep.",,,,,,,,,2.4993811,3.0885433,3.17588703,,,,,,0.043314306,0.0099821465,4.4317875,,,,,,,4.23922,7.819335399999999,4.5745077,1.9374465,11.6664122,10.3528731,12.119417899999998,1.1764905,12.388155699999999,14.954054800000002,11.3750945558432,,,,,,,,,,,,
45,Costa Rica,,,,,,,,2.0,2.9,2.7,4.1,2.4,5.6,5.3,6.4,7.2,7.7,7.9,9.1,10.0,12.0,13.4,14.2,16.0,17.1,123.4,131.08,130.26,127.73,126.669,135.591484,198.46946,250.391218,320.908503,319.324,420.34641,513.1562908999999,617.9200875,604.768805,513.0918733,530.688786,520.2196733000001,562.342745,596.3992110600001,593.9253844,551.988512,551.423776,572.8700593768748
46,Cote d'Ivoire,,,,,,12.131794,14.228889,15.874328,22.157634,28.205874,32.184846,30.912873,28.909979,27.029436,24.945265,24.039373,35.806493,42.92323,42.639167,35.422276,44.44203,41.473639,,57.564103,110.0,151.0,147.0,136.0,143.0,138.0,119.0,116.0,120.00430423350001,142.0,159.0089255,163.17383555447796,166.76161658700002,184.69254118400002,198.916275572,315.07817689999996,373.4775657,396.6036598,367.10716460000003,384.6692764,386.6992673,336.246816,341.963011872,385.73427739161593
47,Croatia,,,,,,,,,,,,,,,,,,,,,,,,230.1,375.3,544.7,667.662892,617.788176,625.142839,557.433464,640.873387,747.261089,438.809172,516.946929,665.329118,692.807908925609,1611.3969561,1853.9963672000001,2065.1741957,1890.4652459000001,1900.19291,2091.6593488,2084.7002595,2174.198361,2148.7321473,2103.620416,2189.504896,2269.838332409381
48,Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.12849164,135.96648046,133.05586592,143.30167598000003,142.3743,148.418996,153.69039234013124
50,Cyprus,,,,,,,31.669029,50.965206,68.538521,76.457806,94.037222,83.050416,79.724704,78.231695,73.591164,71.504097,57.127077,63.81255,71.362928,68.941129,78.588907,65.672111,81.192559,79.412122,81.269263,48.627364,49.323279,47.674892,48.278804,49.728542,64.266411,104.998549,61.628960299999996,84.2798256,245.391644,104.8171813306725,104.49187897,142.19456765,974.9164724,592.9181212999999,861.9092654,740.0925308999999,555.13748039,375.50729104999994,267.34175607,253.88996,321.081516,317.65016645922054
51,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,138.0,164.0,190.4236167,112.0286268,85.286111,349.7782826,318.5494537,296.7134627,257.25930952,334.8303719,498.70684919999997,814.3292547000001,1459.7510095730959,1687.7649847,1896.6483284,1134.443633,1196.075195,1229.063882,1394.312633,1409.130137,1737.884337,2628.2617384,2674.828096,3126.387968,3464.0378685440005
52,Denmark,,,,,,,,,,,,,,,,,,,,,,,464.0,450.0,439.0,523.0,,852.0,766.0,803.0,667.0,699.0,785.0,941.0,1080.0,866.760781710019,982.4706923,822.8397762999999,1295.450668,1218.903517,1077.537577,1357.024095,1273.574159,1217.069021,1483.0218,1255.13152,1259.63712,1299.9455078400001
53,Djibouti,,,,,,,,,,,,,,,,,,,,,,13.121690800000001,13.121690800000001,19.0354548,13.5493278,11.889422099999999,10.944120300000002,11.47303909,11.940063199999999,11.56306831,12.288925019999999,11.945690429999999,14.95602659,24.667878100000003,24.7410268,25.849505685878377,28.471593118,28.640397027,30.328436144,32.466619022,32.641049730999995,32.359709881,33.265624204,35.645759367,35.51637633599999,63.296196,63.296196,68.56199600895316
54,Dominica,,,,,,,1.3003548999999999,3.2,5.8,8.7,8.6,8.5,7.5,9.4,10.8,11.1,7.70370367,11.77777777,16.11111127,13.370370379999999,13.922222230000001,4.959259299999999,5.17407404,13.737037033,13.285184926000001,13.43333323,13.751851326,13.888889226,14.62222234,15.644444600000002,16.307407350000002,17.1437037,17.40738879,17.816296240000003,23.1501336,21.772344444444446,22.075033332000004,22.482585186999998,22.686333331500002,22.138522221000002,22.889296296,22.870140003300005,23.2488985211,23.5511340781,23.5511340781,23.5511340781,23.5511340781,24.109330192939012
55,Dominican Republic,25.1,14.5,24.0,24.0,26.8,28.0,112.0,124.0,132.0,161.0,183.0,183.0,190.0,195.0,205.0,242.0,225.0,273.0,289.0,301.0,315.0,330.0,347.0,758.5,797.8,839.7,962.7,1143.3,1409.8,1632.0,1840.0,1984.0,2195.0,2325.0,2501.0,2719.2,3053.8,3397.0,3605.5,3414.7,3887.0,4240.7,4262.1,4485.5,4810.4,5196.200064,5509.000064,5696.213581167971
56,Ecuador,,,,,,,3.3,,,,,,,,,,3.0,3.0,2.0,1.0,51.0,56.0,75.0,203.0,276.0,386.0,489.0,648.0,799.0,1085.2,1325.58,1426.05,1436.0,1636.0,1836.0,2460.0,2933.808811429,3341.3378134759996,3088.633129,2742.436211,2599.0270382,2680.596330546,2476.2259618049998,2458.803088921,2472.44938891,2387.555883,2612.048514,2719.1425030739997
57,"Egypt, Arab Rep.",,,,,,,,928.0,1770.0,2210.0,2700.0,2180.0,2440.0,3670.0,3960.0,3210.0,2510.0,3600.0,3770.0,3290.0,4280.0,4050.0,6100.0,5660.0,3670.0,3230.0,3110.0,3700.0,3370.0,3240.0,2850.0,2910.0,2890.0,2960.0,3340.0,5017.3,5329.5,7655.8,8694.0,7149.6,12453.1,14324.3,19236.4,17833.1,19570.4,18325.399552,16590.000128,18199.230140416
58,El Salvador,,,,,,,10.6,54.0,67.84,100.0,49.04,72.48,112.2,115.44,158.92,156.96,157.733963,186.24,210.36,237.68,366.8196642,475.3076923,694.0567127999999,795.4007417,972.0408133999999,1063.1983247,1080.0,1200.0,1341.4848657999999,1383.5,1764.7,1925.5,1958.5,2127.1,2566.5,3028.6,3482.7,3709.05,3754.75,3402.34,3471.836719,3643.9492464299997,3896.1433905599997,3954.92808448,4154.01410533,4288.065206,4593.757162,5066.914149686
59,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,1.3185146,,,0.10017061000000001,0.16420604,,,,,,,,,,,,,,,,,,,,,
60,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6916284708000004,3.6340055,3.2847508999999997,,,,,,,,,,,,,,,,,
61,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,2.90501471,1.283825069,1.684442008,1.737374136,2.644206012,2.31463898,4.05263427,11.0206981,19.1489802,51.2072753,166.893258,264.0983270173022,401.87237345000005,410.98838175,362.26300047,339.78359608999995,357.16672597,438.36895676,460.84257190000005,567.6290793,544.498868,446.307776,478.676464,464.794846544
62,Ethiopia,,,,,,,,4.4444444,7.1497585,8.6956522,12.222222,10.483092,10.193237,11.014493,11.497585,14.202899,13.574879,8.550724599999999,11.304348,6.47343,5.2173913,9.7584541,15.01913,18.38,24.62567,27.359669,16.0122107,9.232460329,27.313236,33.729647,53.158882,18.313718,32.986894,46.470192,134.0,173.519405683879,172.153313958,357.838224965,386.69626582845996,261.61244712845996,345.16127112846,513.24866662846,624.37116552846,624.37116552846,1796.377787,1086.986789609375,772.235968,805.6767213886382
63,Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.48,50.04,42.97,39.04,39.75,44.38,49.217895,80.282305108049,89.05561615,109.17796940000001,136.5695801,138.7414374,146.3928243,158.41175,158.41175,158.41175,158.41175,158.41175,158.41175,164.53323601765666
64,Fiji,,,,,,,,,,3.5896191999999996,4.89018675,9.3023083,8.086236,7.98410786,10.6133709,27.65366423,29.747564649999997,27.012723006999998,22.653250439,22.988764460000002,21.94599012,19.179191995,22.688096010000002,26.13870392,29.642278179,32.92249369,33.4212216,35.32651068,25.92086177,24.420892100000003,44.00403364,83.2445058,99.44972004699999,124.22688776,172.8462618,203.6909290141328,204.58997115,183.22768914999997,146.70171279,171.24333751,173.76721887,160.37334651,190.60776380000001,203.57881047,220.91111185,251.320152,80.40104152999895,83.90699018402432
65,Finland,,,,,,18.514945,23.80775,46.70399,65.4784,91.440733,106.0,95.759995,108.0,97.178133,49.415206,50.871545,74.044213,77.741461,105.0,70.851071,62.883601,101.0,103.0,77.051125,66.89375,74.258863,146.0,235.0,375.0,444.0,473.0,491.0,477.0,526.0,666.0,692.623967594301,714.5076808,806.0867837999999,959.168579,865.0539412999999,894.0363171,755.5717041,862.4284094,973.2433722000001,907.0354382,806.33344,804.362688,832.4862712069017
66,France,,,,,,628.0,653.0,1261.0,1578.0,1917.0,1441.0,1279.0,1342.0,1279.0,1262.0,1391.0,2022.0,2469.0,3424.0,3221.0,4034.0,4618.0,5212.0,5032.0,3955.0,4636.0,4540.0,9745.0,10024.0,9306.0,8610.0,9191.0,10368.0,11351.0,12260.0,14212.232287185378,15528.852905,17589.390548,20085.329314,19649.12483,19903.168862,22927.2757641,22674.444517599997,24406.3335126,25351.1571466,23765.700608,24373.082432,24519.320926591998
67,French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408.205361,508.323615,597.973117,557.2706203485398,621.8617899400001,688.7618774599999,763.0537479699999,727.7572459099999,650.74444062,722.3746283400001,633.48753494,652.07134321,657.695428239,657.695428239,657.695428239,685.48343173891
68,Gabon,,,,,,,,,0.088630537,0.09401958199999999,0.047330656000000006,0.1840052,0.060863114999999995,0.28866388,0.091542258,0.13355207,0.23100963,0.29946439199999997,0.13429659,0.15673573000000002,,,,,,4.47161583,5.7276631,6.145602599999999,5.5631666,4.247204300000001,6.0507634,5.3639747,2.8465331000000003,5.9893291,6.852364399999999,11.028154171889959,,,,,,,,,,,,
69,"Gambia, The",,,,,,,,,0.34520035,0.49247629,,,0.1878131,0.70113613,,,,,,,,,,,,,,,,,,,,54.06983939,60.748748909999996,59.30408754372933,63.7735173459,55.662540373000006,64.811558975,79.80115312400001,115.699060973,107.909707036,140.99105187799998,180.69270714415515,137.771209369,135.96387525,207.36920375,212.37967152234958
70,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.0,373.0,360.0,209.5471874,221.57244780000002,230.8153635,235.96190130000002,302.9209618,446.00539863,627.3487795,883.065426,1065.021296,1111.6197131999998,1183.9357497,1547.2744395999998,1770.1151751,1945.2848523,1986.4749234,1458.741312,1520.78528,1641.0549000245717
71,Germany,,210.2290089,246.2700535,313.7011127,357.3786288,420.21203460000004,450.2091277,535.8796503,731.868344,848.8293378,2380.490025,2122.568011,2230.32149,2121.863023,1964.053677,2018.489955,2778.150473,3586.776088,3839.278991,3753.973758,4878.028354,4824.468226,4923.352298,4392.084641,4405.304581,4526.027927,4345.247601,3856.853492,4266.0,4334.0,3639.925884,3931.310668,4686.181059,5779.678729,6580.566499,6867.13263006134,7482.28688,9769.923181,10973.972375,12333.262473,12791.629121,16608.968648,15898.416502,16343.359193891001,17364.690462119997,16132.500916,16683.1835255,16282.787120888
72,Ghana,,,,,,,,,,1.27274,0.9,1.4,1.5,0.5,4.7,4.2,0.6,0.7,6.0,6.0,6.0,6.2,7.3,10.1,15.7,17.2096,27.5,26.0,29.5,30.7,32.3968,45.90912,43.52,65.100096,82.3712,99.184576,105.253248,117.363712,126.104704,114.45568,135.85216,2134.638607,2155.495,1863.99,2007.83148,2100.0,2100.0,2190.2999999999997
73,Greece,,,,,,,805.0,940.0,989.0,1184.0,1123.0,1172.0,1144.0,964.0,945.0,807.0,967.0,1403.0,1742.0,1387.0,1822.0,2178.0,2535.0,2655.0,2890.0,3284.0,3075.0,3066.0,,2287.0,2191.0,2013.0,1658.0,1561.0,1242.0,1220.107040029686,1542.6229962999998,2483.721084,2686.6350428,2020.3239130999998,1499.2031528,1186.1935376,681.2267482000001,804.7520942000001,734.7116147,428.809248,331.496512,345.8790320743957
