,Migrant remittance outflows (US$ million),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
199,Uganda,,,,,,,,,,,4.1,0.5,,,,,,,,,,,,,,,,,,229.1,353.4,354.500503,357.397448,182.352851,194.353741,197.01148078,206.06876196000002,235.71381748,381.04389209,482.61562639,331.72977017,401.507898,328.7313855,370.955591,303.6065012,280.161624,270.644856
200,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,3.0,3.0,10.0,5.0,15.0,29.0,20.0,186.0,255.0,353.0,714.0,613.0,703.0,849.0,1003.0,1716.0,1702.0,627.0,559.0
201,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,3185.8408203125,3430.9052734375,3635.1259765625,3675.969970703125,3910.14306640625,4138.8701171875,4389.38037109375,4648.06005859375,5372.3623046875,6072.15771484375,8682.6103515625,9994.5537109375,9531.5908203125,10566.44921875,11220.0439453125,14398.1484375,17933.005859375,19280.0,,
202,United Kingdom,,,,,,,,,,,,,,,,,,1581.0,1624.0,1735.0,2033.0,2007.0,1981.0,1579.0,2076.0,2585.0,2007.0,2480.0,2289.0,2038.0,2048.0,3340.0,2438.0,2626.0,3552.0,9643.117679,10645.651381,11596.568484,11211.837188,9274.761989,9565.109385,9931.10101,10077.435197,10528.125662,11569.365231,10705.712384,10060.358912
203,United States,650.0,700.0,670.0,710.0,680.0,590.0,650.0,1060.0,1170.0,1220.0,1360.0,4720.0,5140.0,5450.0,5990.0,6330.0,8660.0,8810.0,9010.0,10220.0,11850.0,13920.0,16150.0,18030.0,20350.0,22160.0,23700.0,25570.0,27390.0,33300.0,34400.0,38200.0,40200.0,40000.0,43400.0,47254.0,50756.0,52650.0,55527.0,50723.0,50776.0,50556.0,52652.0,55669.0,58754.0,62500.999168,66648.999936
204,Uruguay,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,1.421609,1.77,2.176,2.843,3.536,4.678,5.629,6.651,7.211,10.014,10.789,10.073,9.365614,9.137851
205,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Vanuatu,,,,,,,,,,,,,17.0880648,12.026045230000001,14.647956220000001,15.12290065,13.905146629999999,17.75385925,16.217096146000003,15.61181983,12.435825266,13.18979575,22.1515262,14.9702875,14.9037876,18.1644222,72.111373,59.535082,60.4038837,88.2649552,72.6507849,78.2122964,2.14816394,2.71977187,2.9798216999999996,3.0010214557,3.1384173829,2.6250592777,2.5491304414999996,2.6949664327,3.076580168,3.5347694598999997,2.3822412320999997,2.44415098,3.7149476900000002,3.331006875,
207,"Venezuela, RB",87.0,80.0,90.0,106.0,136.0,144.0,170.0,232.0,372.0,389.0,418.0,383.0,615.0,187.0,208.0,217.0,185.0,215.0,211.0,368.0,701.0,677.0,858.0,729.0,609.0,203.0,290.0,211.0,261.0,195.0,331.0,406.0,383.0,209.0,214.0,211.0,257.0,662.0,841.0,582.0,805.0,782.0,899.0,1117.0,193.0,105.0,54.0
208,Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,17.9,21.945,5.44489496,5.687228310000001,6.021054889999999,5.440471769999999,5.6484238399999995,21.97235524,12.66251142,6.4756434003,6.788488226699999,7.929238585699999,8.2998953321,7.912044442100001,18.1274514494,47.915108235999995,48.1098305092,54.3147109,36.12891412,32.0844809375,23.4193469375
211,"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,106.0,125.0,93.8,94.3,68.4,61.2,59.6,41.4,42.7,27.0,60.504,63.604,64.304,59.994067,108.315471,109.49591,120.44,318.72,336.84,336.84,338.32,333.42,337.707048,333.295533,335.395533,333.38952,
212,Zambia,,,,,,,,,70.3,113.9,82.4,69.4,36.8,39.0,25.8,23.7,41.9,19.1,23.6,25.7,17.5,20.1,,,,,,59.0,39.2,21.8,24.1,28.4,37.5,71.5,76.1,93.662,115.457,123.93,138.885,65.617,68.063986,70.41382516,96.922,77.32447074000001,81.19988114,72.1047,63.405836
213,Zimbabwe,,,,,,,,40.21849879,42.233232560000005,94.78364857,134.9779657,122.065969,110.7257788,83.27219720000001,62.7169395,15.254607199999999,20.0791936,16.7802817,15.489000399999998,15.853200900000001,16.4769566,10.094380800000001,10.7614365,7.711311599999999,7.23185955,,,,,,,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,"Source: World Bank staff calculation based on data from IMF Balance of Payments Statistics database and data releases from central banks, national statistical agencies, and World Bank country desks. Ouflow data based on numbers reported by country authorities to IMF Balance of Payments. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Note: All numbers are in current (nominal) US $.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218," For a discussion of the definition of remittances, see Dilip Ratha, 2003, ""Workers' Remittances: An Important and Stable Source of External Development Finance"", Global Development Finance 2003, World Bank. Data since 2005 are based on IMF BOP Statistics that use the definitions of IMF BPM6.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,GDP data is from WDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,"For latest data and analysis on migration and remittances, please visit http://www.worldbank.org/migration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Date: April 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
