,Migrant remittance outflows (US$ million),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
80,Guyana,,,,,,,,,,,,0.42666666999999997,,,,,,,,,,,4.53,11.24,11.2,12.01,23.3,17.9,21.6,27.2,27.4,24.1,53.1,50.4,80.627,54.806,48.429,61.144,72.15444274,85.62487503,128.1198786,138.27,183.68802119999998,122.8373553,122.22953028,118.724056,
81,Haiti,,5.4,3.2799879000000005,7.94,10.3999914,39.38,44.84,44.1,47.28,50.68,54.34,61.84,47.34,43.48,45.0,47.24,53.4,56.92,60.68,63.46,,,,,,,,,,,11.0,19.34,22.0,31.35,38.52,59.686,75.515,96.408,117.0802117,134.8240038,166.9785617,240.2373935,231.9240772,247.6943207,248.5970744,247.297664,266.344544
82,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,9.5,0.5,0.6,9.4,11.5,10.9,12.004819,16.634547,0.4835457722,2.121696767,2.48722,36.95,27.18794039,27.28533755,32.97528377,36.431743420000004,40.93814739,42.1,41.1,41.1
83,"Hong Kong SAR, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.0,167.0,225.0,309.0,299.0,317.0,321.0,348.08666439999996,376.5509184,387.62500889999995,393.1066553,413.3262438,482.9367862,554.3449737000001,607.1185052000001,656.3980552,711.4986991000001,758.670592,816.784256
84,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,146.14430223,94.15404095000001,86.10081753,75.27183459999999,98.3416003,86.23254,100.78419659999999,106.7482991,114.07545490000001,814.1151712999999,911.63312177,981.2360756,1367.3815133,1526.310796,1192.1715135,1133.3164042,1194.8444077000001,1088.6273752,837.1355427999999,844.9325392999999,675.24584,702.776016
85,Iceland,,,,,,,0.3,2.0,3.9,5.1,5.5,4.6,5.3,3.8,5.6,4.8,6.7,17.3,16.5,16.8,24.645081,25.886523,25.37891,20.569294,17.509087899999997,19.922156100000002,14.8650008,16.6585043,17.6503301,22.8981328,30.943159,16.9387528,22.7768516,26.2519342,46.617572,54.414569349999994,81.57354819,114.81314908000002,100.74000997,68.0698524,67.2009517,72.74619532999999,67.93283921000001,72.59575459999999,94.21555089,84.084354,149.131876
86,India,,,,,,,9.1388535,11.64125,57.404832,10.211729,29.241802,15.402513,13.516845,39.727379,27.499766,30.896383,42.055765,65.468296,93.125844,98.65008,106.0,51.58417,67.776932,259.0,351.0,419.0,538.0,162.0,44.157098,36.167394,486.0,751.0,1187.0,1265.0,1653.0,1348.2828577999999,1561.8653623,2059.330846,3812.363581,2889.988304,3828.678498,4077.745355,4963.082154,6431.771262,6221.785952,4882.83264,5622.66112
87,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913.0,1178.9157449000002,1359.0661963,1654.25,1971.4675298,2701.5921365,2839.9377994,3163.740019,3633.613325,3951.108964,4119.081644,4605.139584,5150.59392
88,"Iran, Islamic Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.5,781.3,17.3,31.4,26.7,48.4,78.0,548.0,484.0,599.3,539.3,349.6
90,Ireland,,,,,,,,,,,,,,,87.452074,61.831905,92.841345,195.0,152.0,127.0,165.348124,167.839154,176.977404,159.769451,161.72266,173.176373,179.248424,169.957222,166.0,121.0,180.8646779,273.6164726,587.990059,787.888543,997.437002,1440.6470931,1852.563234,2520.3698681,2672.496663,2548.698513,2266.5701065999997,2193.5358134000003,1996.1282018,1957.7198002999999,1959.5085914000001,1562.919936,1541.417472
91,Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Israel,11.0,11.0,6.0,6.0,9.0,20.0,14.0,8.0,18.0,15.0,31.0,38.1,453.0,512.0,499.0,410.0,553.0,751.0,749.0,731.0,850.0,795.0,1120.0,908.0,919.0,1410.0,2030.0,2400.0,2870.0,3080.0,3260.0,3040.0,2780.0,2500.0,2220.0,2205.6,2335.3,2797.9,3635.9,3420.9,3726.8,4344.3,4326.0,4993.2,5010.1,4927.699968,5206.30016
